"Year Month","State","Industry","Suspicious Activity","Count"
"2020 January","Alabama","Casino/Card Club - Tribal Authorized Casino","Check","2"
"2020 January","Alabama","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","2"
"2020 January","Alabama","Casino/Card Club - Tribal Authorized Casino","[Total]","4"
"2020 January","Alabama","Depository Institution","ACH","96"
"2020 January","Alabama","Depository Institution","Advance Fee","4"
"2020 January","Alabama","Depository Institution","Business Loan","2"
"2020 January","Alabama","Depository Institution","Check","392"
"2020 January","Alabama","Depository Institution","Consumer Loan (see instructions)","23"
"2020 January","Alabama","Depository Institution","Credit/Debit Card","48"
"2020 January","Alabama","Depository Institution","Healthcare/Public or Private Health Insurance","1"
"2020 January","Alabama","Depository Institution","Mail","6"
"2020 January","Alabama","Depository Institution","Other Fraud (Type)","138"
"2020 January","Alabama","Depository Institution","Wire","67"
"2020 January","Alabama","Depository Institution","[Total]","777"
"2020 January","Alabama","Insurance Company","ACH","1"
"2020 January","Alabama","Insurance Company","Mail","1"
"2020 January","Alabama","Insurance Company","[Total]","2"
"2020 January","Alabama","Loan or Finance Company","Consumer Loan (see instructions)","1"
"2020 January","Alabama","Loan or Finance Company","[Total]","1"
"2020 January","Alabama","Money Services Business (MSB)","Advance Fee","5"
"2020 January","Alabama","Money Services Business (MSB)","Check","15"
"2020 January","Alabama","Money Services Business (MSB)","Credit/Debit Card","4"
"2020 January","Alabama","Money Services Business (MSB)","Other Fraud (Type)","142"
"2020 January","Alabama","Money Services Business (MSB)","Wire","48"
"2020 January","Alabama","Money Services Business (MSB)","[Total]","214"
"2020 January","Alabama","Other","Consumer Loan (see instructions)","2"
"2020 January","Alabama","Other","[Total]","2"
"2020 January","Alabama","Securities/Futures","ACH","1"
"2020 January","Alabama","Securities/Futures","Check","1"
"2020 January","Alabama","Securities/Futures","Credit/Debit Card","1"
"2020 January","Alabama","Securities/Futures","Other Fraud (Type)","1"
"2020 January","Alabama","Securities/Futures","[Total]","4"
"2020 January","Alabama","[Total]","[Total]","1,004"
"2020 January","Alaska","Depository Institution","ACH","6"
"2020 January","Alaska","Depository Institution","Check","38"
"2020 January","Alaska","Depository Institution","Consumer Loan (see instructions)","2"
"2020 January","Alaska","Depository Institution","Credit/Debit Card","17"
"2020 January","Alaska","Depository Institution","Other Fraud (Type)","15"
"2020 January","Alaska","Depository Institution","Wire","5"
"2020 January","Alaska","Depository Institution","[Total]","83"
"2020 January","Alaska","Money Services Business (MSB)","Advance Fee","1"
"2020 January","Alaska","Money Services Business (MSB)","Credit/Debit Card","1"
"2020 January","Alaska","Money Services Business (MSB)","Other Fraud (Type)","30"
"2020 January","Alaska","Money Services Business (MSB)","Wire","16"
"2020 January","Alaska","Money Services Business (MSB)","[Total]","48"
"2020 January","Alaska","Securities/Futures","Check","1"
"2020 January","Alaska","Securities/Futures","[Total]","1"
"2020 January","Alaska","[Total]","[Total]","132"
"2020 January","American Samoa","Money Services Business (MSB)","Other Fraud (Type)","2"
"2020 January","American Samoa","Money Services Business (MSB)","[Total]","2"
"2020 January","American Samoa","[Total]","[Total]","2"
"2020 January","Arizona","Casino/Card Club - Tribal Authorized Casino","Check","4"
"2020 January","Arizona","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","8"
"2020 January","Arizona","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","2"
"2020 January","Arizona","Casino/Card Club - Tribal Authorized Casino","Wire","2"
"2020 January","Arizona","Casino/Card Club - Tribal Authorized Casino","[Total]","16"
"2020 January","Arizona","Depository Institution","ACH","44"
"2020 January","Arizona","Depository Institution","Advance Fee","7"
"2020 January","Arizona","Depository Institution","Check","307"
"2020 January","Arizona","Depository Institution","Consumer Loan (see instructions)","9"
"2020 January","Arizona","Depository Institution","Credit/Debit Card","55"
"2020 January","Arizona","Depository Institution","Healthcare/Public or Private Health Insurance","1"
"2020 January","Arizona","Depository Institution","Mail","8"
"2020 January","Arizona","Depository Institution","Mass-Marketing","32"
"2020 January","Arizona","Depository Institution","Other Fraud (Type)","105"
"2020 January","Arizona","Depository Institution","Wire","45"
"2020 January","Arizona","Depository Institution","[Total]","613"
"2020 January","Arizona","Loan or Finance Company","Consumer Loan (see instructions)","1"
"2020 January","Arizona","Loan or Finance Company","Other Fraud (Type)","1"
"2020 January","Arizona","Loan or Finance Company","[Total]","2"
"2020 January","Arizona","Money Services Business (MSB)","Advance Fee","5"
"2020 January","Arizona","Money Services Business (MSB)","Consumer Loan (see instructions)","1"
"2020 January","Arizona","Money Services Business (MSB)","Credit/Debit Card","2"
"2020 January","Arizona","Money Services Business (MSB)","Other Fraud (Type)","137"
"2020 January","Arizona","Money Services Business (MSB)","Wire","89"
"2020 January","Arizona","Money Services Business (MSB)","[Total]","234"
"2020 January","Arizona","Other","Check","1"
