Year Month,State,Industry,Suspicious Activity,Count
2020,Alabama,Casino/Card Club - Tribal Authorized Casino,Check,2
2020,Alabama,Casino/Card Club - Tribal Authorized Casino,Credit/Debit Card,3
2020,Alabama,Casino/Card Club - Tribal Authorized Casino,Other Fraud (Type),2
2020,Alabama,Casino/Card Club - Tribal Authorized Casino,Wire,1
2020,Alabama,Casino/Card Club - Tribal Authorized Casino,[Total],8
2020,Alabama,Depository Institution,ACH,"3,838"
2020,Alabama,Depository Institution,Advance Fee,33
2020,Alabama,Depository Institution,Business Loan,271
2020,Alabama,Depository Institution,Check,"5,429"
2020,Alabama,Depository Institution,Consumer Loan (see instructions),322
2020,Alabama,Depository Institution,Credit/Debit Card,945
2020,Alabama,Depository Institution,Healthcare/Public or Private Health Insurance,8
2020,Alabama,Depository Institution,Mail,54
2020,Alabama,Depository Institution,Mass-Marketing,7
2020,Alabama,Depository Institution,Other Fraud (Type),"4,042"
2020,Alabama,Depository Institution,Ponzi Scheme,8
2020,Alabama,Depository Institution,Pyramid Scheme,3
2020,Alabama,Depository Institution,Securities,1
2020,Alabama,Depository Institution,Wire,808
2020,Alabama,Depository Institution,[Total],"15,769"
2020,Alabama,Insurance Company,ACH,13
2020,Alabama,Insurance Company,Business Loan,1
2020,Alabama,Insurance Company,Check,10
2020,Alabama,Insurance Company,Mail,6
2020,Alabama,Insurance Company,Other Fraud (Type),1
2020,Alabama,Insurance Company,Wire,1
2020,Alabama,Insurance Company,[Total],32
2020,Alabama,Loan or Finance Company,Check,1
2020,Alabama,Loan or Finance Company,Consumer Loan (see instructions),6
2020,Alabama,Loan or Finance Company,Mail,1
2020,Alabama,Loan or Finance Company,Other Fraud (Type),2
2020,Alabama,Loan or Finance Company,[Total],10
2020,Alabama,Money Services Business (MSB),Advance Fee,36
2020,Alabama,Money Services Business (MSB),Check,221
2020,Alabama,Money Services Business (MSB),Consumer Loan (see instructions),2
2020,Alabama,Money Services Business (MSB),Credit/Debit Card,55
2020,Alabama,Money Services Business (MSB),Mail,1
2020,Alabama,Money Services Business (MSB),Other Fraud (Type),"1,246"
2020,Alabama,Money Services Business (MSB),Wire,488
2020,Alabama,Money Services Business (MSB),[Total],"2,049"
2020,Alabama,Other,Consumer Loan (see instructions),3
2020,Alabama,Other,Credit/Debit Card,1
2020,Alabama,Other,Mass-Marketing,1
2020,Alabama,Other,Other Fraud (Type),2
2020,Alabama,Other,Wire,2
2020,Alabama,Other,[Total],9
2020,Alabama,Securities/Futures,ACH,8
2020,Alabama,Securities/Futures,Advance Fee,3
2020,Alabama,Securities/Futures,Check,16
2020,Alabama,Securities/Futures,Credit/Debit Card,3
2020,Alabama,Securities/Futures,Mail,3
2020,Alabama,Securities/Futures,Mass-Marketing,1
2020,Alabama,Securities/Futures,Other Fraud (Type),20
2020,Alabama,Securities/Futures,Securities,1
2020,Alabama,Securities/Futures,Wire,9
2020,Alabama,Securities/Futures,[Total],64
2020,Alabama,[Total],[Total],"17,941"
2020,Alaska,Depository Institution,ACH,222
2020,Alaska,Depository Institution,Advance Fee,1
2020,Alaska,Depository Institution,Business Loan,7
2020,Alaska,Depository Institution,Check,417
2020,Alaska,Depository Institution,Consumer Loan (see instructions),23
2020,Alaska,Depository Institution,Credit/Debit Card,232
2020,Alaska,Depository Institution,Healthcare/Public or Private Health Insurance,2
2020,Alaska,Depository Institution,Mail,4
2020,Alaska,Depository Institution,Mass-Marketing,4
2020,Alaska,Depository Institution,Other Fraud (Type),202
2020,Alaska,Depository Institution,Wire,91
2020,Alaska,Depository Institution,[Total],"1,205"
2020,Alaska,Insurance Company,Wire,1
2020,Alaska,Insurance Company,[Total],1
2020,Alaska,Money Services Business (MSB),Advance Fee,7
2020,Alaska,Money Services Business (MSB),Check,9
2020,Alaska,Money Services Business (MSB),Consumer Loan (see instructions),1
2020,Alaska,Money Services Business (MSB),Credit/Debit Card,9
2020,Alaska,Money Services Business (MSB),Other Fraud (Type),221
2020,Alaska,Money Services Business (MSB),Wire,108
2020,Alaska,Money Services Business (MSB),[Total],355
2020,Alaska,Other,Other Fraud (Type),2
2020,Alaska,Other,[Total],2
2020,Alaska,Securities/Futures,ACH,2
2020,Alaska,Securities/Futures,Check,2
2020,Alaska,Securities/Futures,Other Fraud (Type),6
2020,Alaska,Securities/Futures,Wire,1
2020,Alaska,Securities/Futures,[Total],11
2020,Alaska,[Total],[Total],"1,574"
2020,American Samoa,Depository Institution,Check,1
2020,American Samoa,Depository Institution,Other Fraud (Type),6
