"Year Month","State","Industry","Suspicious Activity","Count"
"2021 ","Alabama","Casino/Card Club - Tribal Authorized Casino","ACH","1"
"2021 ","Alabama","Casino/Card Club - Tribal Authorized Casino","Check","1"
"2021 ","Alabama","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","8"
"2021 ","Alabama","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","4"
"2021 ","Alabama","Casino/Card Club - Tribal Authorized Casino","Wire","1"
"2021 ","Alabama","Casino/Card Club - Tribal Authorized Casino","[Total]","15"
"2021 ","Alabama","Depository Institution","ACH","6,024"
"2021 ","Alabama","Depository Institution","Advance Fee","34"
"2021 ","Alabama","Depository Institution","Business Loan","457"
"2021 ","Alabama","Depository Institution","Check","8,544"
"2021 ","Alabama","Depository Institution","Consumer Loan (see instructions)","209"
"2021 ","Alabama","Depository Institution","Credit/Debit Card","1,379"
"2021 ","Alabama","Depository Institution","Healthcare/Public or Private Health Insurance","17"
"2021 ","Alabama","Depository Institution","Mail","63"
"2021 ","Alabama","Depository Institution","Mass-Marketing","4"
"2021 ","Alabama","Depository Institution","Other Fraud (Type)","7,043"
"2021 ","Alabama","Depository Institution","Ponzi Scheme","4"
"2021 ","Alabama","Depository Institution","Pyramid Scheme","3"
"2021 ","Alabama","Depository Institution","Securities","3"
"2021 ","Alabama","Depository Institution","Wire","1,172"
"2021 ","Alabama","Depository Institution","[Total]","24,956"
"2021 ","Alabama","Insurance Company","ACH","10"
"2021 ","Alabama","Insurance Company","Advance Fee","1"
"2021 ","Alabama","Insurance Company","Check","8"
"2021 ","Alabama","Insurance Company","Mail","4"
"2021 ","Alabama","Insurance Company","Wire","1"
"2021 ","Alabama","Insurance Company","[Total]","24"
"2021 ","Alabama","Loan or Finance Company","Check","1"
"2021 ","Alabama","Loan or Finance Company","Other Fraud (Type)","4"
"2021 ","Alabama","Loan or Finance Company","[Total]","5"
"2021 ","Alabama","Money Services Business (MSB)","Advance Fee","12"
"2021 ","Alabama","Money Services Business (MSB)","Check","143"
"2021 ","Alabama","Money Services Business (MSB)","Consumer Loan (see instructions)","8"
"2021 ","Alabama","Money Services Business (MSB)","Credit/Debit Card","35"
"2021 ","Alabama","Money Services Business (MSB)","Other Fraud (Type)","1,513"
"2021 ","Alabama","Money Services Business (MSB)","Wire","347"
"2021 ","Alabama","Money Services Business (MSB)","[Total]","2,058"
"2021 ","Alabama","Other","Check","1"
"2021 ","Alabama","Other","Consumer Loan (see instructions)","3"
"2021 ","Alabama","Other","Credit/Debit Card","3"
"2021 ","Alabama","Other","Other Fraud (Type)","3"
"2021 ","Alabama","Other","Wire","1"
"2021 ","Alabama","Other","[Total]","11"
"2021 ","Alabama","Securities/Futures","ACH","4"
"2021 ","Alabama","Securities/Futures","Check","16"
"2021 ","Alabama","Securities/Futures","Credit/Debit Card","2"
"2021 ","Alabama","Securities/Futures","Mail","1"
"2021 ","Alabama","Securities/Futures","Other Fraud (Type)","20"
"2021 ","Alabama","Securities/Futures","Wire","13"
"2021 ","Alabama","Securities/Futures","[Total]","56"
"2021 ","Alabama","[Total]","[Total]","27,125"
"2021 ","Alaska","Depository Institution","ACH","219"
"2021 ","Alaska","Depository Institution","Advance Fee","1"
"2021 ","Alaska","Depository Institution","Business Loan","4"
"2021 ","Alaska","Depository Institution","Check","433"
"2021 ","Alaska","Depository Institution","Consumer Loan (see instructions)","34"
"2021 ","Alaska","Depository Institution","Credit/Debit Card","247"
"2021 ","Alaska","Depository Institution","Mail","1"
"2021 ","Alaska","Depository Institution","Mass-Marketing","3"
"2021 ","Alaska","Depository Institution","Other Fraud (Type)","215"
"2021 ","Alaska","Depository Institution","Ponzi Scheme","1"
"2021 ","Alaska","Depository Institution","Wire","73"
"2021 ","Alaska","Depository Institution","[Total]","1,231"
"2021 ","Alaska","Money Services Business (MSB)","Advance Fee","6"
"2021 ","Alaska","Money Services Business (MSB)","Credit/Debit Card","1"
"2021 ","Alaska","Money Services Business (MSB)","Other Fraud (Type)","208"
"2021 ","Alaska","Money Services Business (MSB)","Wire","80"
"2021 ","Alaska","Money Services Business (MSB)","[Total]","295"
"2021 ","Alaska","Other","Other Fraud (Type)","1"
"2021 ","Alaska","Other","[Total]","1"
"2021 ","Alaska","Securities/Futures","Check","2"
"2021 ","Alaska","Securities/Futures","Other Fraud (Type)","1"
"2021 ","Alaska","Securities/Futures","Wire","1"
"2021 ","Alaska","Securities/Futures","[Total]","4"
"2021 ","Alaska","[Total]","[Total]","1,531"
"2021 ","American Samoa","Depository Institution","Check","1"
"2021 ","American Samoa","Depository Institution","Other Fraud (Type)","6"
"2021 ","American Samoa","Depository Institution","Pyramid Scheme","1"
"2021 ","American Samoa","Depository Institution","Wire","1"
"2021 ","American Samoa","Depository Institution","[Total]","9"
"2021 ","American Samoa","Money Services Business (MSB)","Other Fraud (Type)","2"
"2021 ","American Samoa","Money Services Business (MSB)","Pyramid Scheme","1"
"2021 ","American Samoa","Money Services Business (MSB)","Wire","1"
"2021 ","American Samoa","Money Services Business (MSB)","[Total]","4"
"2021 ","American Samoa","[Total]","[Total]","13"
"2021 ","APO / DPO / FPO","Depository Institution","ACH","3"
"2021 ","APO / DPO / FPO","Depository Institution","Check","3"
"2021 ","APO / DPO / FPO","Depository Institution","Consumer Loan (see instructions)","1"
"2021 ","APO / DPO / FPO","Depository Institution","Other Fraud (Type)","3"
"2021 ","APO / DPO / FPO","Depository Institution","Wire","3"
"2021 ","APO / DPO / FPO","Depository Institution","[Total]","13"
"2021 ","APO / DPO / FPO","Money Services Business (MSB)","Advance Fee","1"
"2021 ","APO / DPO / FPO","Money Services Business (MSB)","Other Fraud (Type)","39"
"2021 ","APO / DPO / FPO","Money Services Business (MSB)","Wire","25"
"2021 ","APO / DPO / FPO","Money Services Business (MSB)","[Total]","65"
"2021 ","APO / DPO / FPO","[Total]","[Total]","78"
"2021 ","Arizona","Casino/Card Club - Tribal Authorized Casino","ACH","8"
"2021 ","Arizona","Casino/Card Club - Tribal Authorized Casino","Business Loan","1"
"2021 ","Arizona","Casino/Card Club - Tribal Authorized Casino","Check","14"
"2021 ","Arizona","Casino/Card Club - Tribal Authorized Casino","Consumer Loan (see instructions)","3"
"2021 ","Arizona","Casino/Card Club - Tribal Authorized Casino","Credit/Debit Card","16"
"2021 ","Arizona","Casino/Card Club - Tribal Authorized Casino","Other Fraud (Type)","7"
"2021 ","Arizona","Casino/Card Club - Tribal Authorized Casino","[Total]","49"
"2021 ","Arizona","Depository Institution","ACH","1,454"
"2021 ","Arizona","Depository Institution","Advance Fee","51"
"2021 ","Arizona","Depository Institution","Business Loan","216"
"2021 ","Arizona","Depository Institution","Check","4,485"
"2021 ","Arizona","Depository Institution","Consumer Loan (see instructions)","94"
"2021 ","Arizona","Depository Institution","Credit/Debit Card","768"
"2021 ","Arizona","Depository Institution","Healthcare/Public or Private Health Insurance","18"
"2021 ","Arizona","Depository Institution","Mail","86"
"2021 ","Arizona","Depository Institution","Mass-Marketing","316"
"2021 ","Arizona","Depository Institution","Other Fraud (Type)","3,133"
"2021 ","Arizona","Depository Institution","Ponzi Scheme","8"
"2021 ","Arizona","Depository Institution","Pyramid Scheme","3"
"2021 ","Arizona","Depository Institution","Securities","7"
"2021 ","Arizona","Depository Institution","Wire","748"
"2021 ","Arizona","Depository Institution","[Total]","11,387"
"2021 ","Arizona","Housing Government Sponsored Enterprise GSE","Consumer Loan (see instructions)","2"
"2021 ","Arizona","Housing Government Sponsored Enterprise GSE","[Total]","2"
"2021 ","Arizona","Insurance Company","ACH","1"
"2021 ","Arizona","Insurance Company","Mail","1"
"2021 ","Arizona","Insurance Company","Wire","14"
"2021 ","Arizona","Insurance Company","[Total]","16"
"2021 ","Arizona","Loan or Finance Company","ACH","5"
"2021 ","Arizona","Loan or Finance Company","Advance Fee","1"
"2021 ","Arizona","Loan or Finance Company","Business Loan","481"
"2021 ","Arizona","Loan or Finance Company","Consumer Loan (see instructions)","25"
"2021 ","Arizona","Loan or Finance Company","Other Fraud (Type)","490"
"2021 ","Arizona","Loan or Finance Company","Wire","1"
"2021 ","Arizona","Loan or Finance Company","[Total]","1,003"
"2021 ","Arizona","Money Services Business (MSB)","ACH","1"
"2021 ","Arizona","Money Services Business (MSB)","Advance Fee","18"
"2021 ","Arizona","Money Services Business (MSB)","Check","36"
"2021 ","Arizona","Money Services Business (MSB)","Consumer Loan (see instructions)","4"
"2021 ","Arizona","Money Services Business (MSB)","Credit/Debit Card","14"
"2021 ","Arizona","Money Services Business (MSB)","Other Fraud (Type)","1,577"
"2021 ","Arizona","Money Services Business (MSB)","Wire","522"
"2021 ","Arizona","Money Services Business (MSB)","[Total]","2,172"
"2021 ","Arizona","Other","ACH","5"
"2021 ","Arizona","Other","Advance Fee","1"
"2021 ","Arizona","Other","Check","6"
"2021 ","Arizona","Other","Consumer Loan (see instructions)","15"
"2021 ","Arizona","Other","Credit/Debit Card","1"
"2021 ","Arizona","Other","Other Fraud (Type)","15"
"2021 ","Arizona","Other","Wire","9"
"2021 ","Arizona","Other","[Total]","52"
"2021 ","Arizona","Securities/Futures","ACH","18"
"2021 ","Arizona","Securities/Futures","Advance Fee","3"
"2021 ","Arizona","Securities/Futures","Business Loan","1"
"2021 ","Arizona","Securities/Futures","Check","31"
"2021 ","Arizona","Securities/Futures","Credit/Debit Card","15"
"2021 ","Arizona","Securities/Futures","Mail","3"
"2021 ","Arizona","Securities/Futures","Mass-Marketing","1"
"2021 ","Arizona","Securities/Futures","Other Fraud (Type)","40"
"2021 ","Arizona","Securities/Futures","Ponzi Scheme","3"
"2021 ","Arizona","Securities/Futures","Securities","23"
"2021 ","Arizona","Securities/Futures","Wire","21"
"2021 ","Arizona","Securities/Futures","[Total]","159"
"2021 ","Arizona","[Total]","[Total]","14,840"
"2021 ","Arkansas","Casino/Card Club - State Licensed Casino","Check","1"
